init_method,pop_size,p_crossover,trial,seed,best_fitness,avg_fitness,convergence_gen,runtime
random,30,0.6,0,42,425.4166666666667,426.5,1,1.223787784576416
random,30,0.6,1,43,425.4166666666667,426.12500000000006,1,1.1598355770111084
random,30,0.6,2,44,425.0,426.04166666666674,1,1.2309494018554688
random,30,0.8,0,42,425.0,425.29166666666674,1,1.2080259323120117
random,30,0.8,1,43,425.0,425.6388888888889,1,1.2087767124176025
random,30,0.8,2,44,424.58333333333337,425.74999999999994,1,1.2094855308532715
random,30,0.9,0,42,424.1666666666667,425.1111111111112,1,1.2584104537963867
random,30,0.9,1,43,424.1666666666667,425.29166666666663,1,1.274449348449707
random,30,0.9,2,44,424.58333333333337,425.5416666666667,1,1.3161025047302246
random,50,0.6,0,42,424.1666666666667,425.725,1,1.4568610191345215
random,50,0.6,1,43,424.1666666666667,425.84166666666664,1,1.470649003982544
random,50,0.6,2,44,424.1666666666667,425.2083333333334,1,1.4625146389007568
random,50,0.8,0,42,423.75,425.12500000000006,1,1.5425856113433838
random,50,0.8,1,43,423.75,425.21666666666664,1,1.54732084274292
random,50,0.8,2,44,423.75,424.75,1,1.5558159351348877
random,50,0.9,0,42,424.1666666666667,425.1916666666667,1,1.6440439224243164
random,50,0.9,1,43,423.33333333333337,424.48333333333335,1,1.5977330207824707
random,50,0.9,2,44,423.75,425.1,1,1.5963854789733887
random,100,0.6,0,42,423.75,425.60416666666663,1,2.179793119430542
random,100,0.6,1,43,423.33333333333337,424.64583333333337,1,2.1640586853027344
random,100,0.6,2,44,424.1666666666667,425.6,1,2.186135768890381
random,100,0.8,0,42,422.5,424.3583333333333,1,2.4013917446136475
random,100,0.8,1,43,423.75,425.1583333333333,1,2.38399600982666
random,100,0.8,2,44,424.1666666666667,425.4625000000001,1,2.4135987758636475
random,100,0.9,0,42,423.33333333333337,424.75416666666666,1,2.4636542797088623
random,100,0.9,1,43,423.33333333333337,425.2249999999999,1,2.4862146377563477
random,100,0.9,2,44,422.9166666666667,425.0416666666666,1,2.448162078857422
