scenario,interval_id,begin,end,edge_id,speed,traveltime,occupancy,entered,left
scen2,ed_port_scen1,0.0,60.0,-1108932288#0,6.63,0.55,1.27,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,-1108932288#1,2.73,,1.78,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,-672314900,6.43,2.67,1.22,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,-672314957#0,6.4,0.03,1.3,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,100271597#1,6.96,7.22,0.57,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,1211925687,19.23,1.45,0.43,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1211925689,8.88,4.07,0.93,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1278761924,11.11,0.95,0.36,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1312207892#0,18.39,0.55,0.45,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1312207892#1,18.99,0.01,0.44,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1312207892#2,16.45,1.79,0.17,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1312207893#0,4.26,4.5,1.76,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,1312207893#1,14.2,3.11,0.58,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1312207895#0,12.87,3.02,0.32,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1312207896,6.32,2.82,1.36,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1323816511,11.07,0.42,0.37,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1323816512,10.82,0.02,0.39,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1443544285#0,12.2,1.73,1.36,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,1443544285#1,12.19,1.11,1.37,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,1443544287#0,20.02,0.52,0.21,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,1443544287#1,20.02,2.19,0.0,1.0,0.0
scen2,ed_port_scen1,0.0,60.0,225931482#6,4.21,4.18,1.77,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,225931482#7,11.32,6.71,0.73,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,225931482#8,12.13,5.46,0.39,1.0,0.0
scen2,ed_port_scen1,0.0,60.0,22679668#0,11.36,2.12,0.37,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689439#1,10.46,0.02,0.4,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689439#2,11.76,0.02,0.35,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689439#3,11.76,0.02,0.35,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689439#4,13.4,0.02,0.31,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689439#5,14.31,0.33,0.29,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#0,14.66,2.89,0.56,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#1,18.0,0.01,0.46,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#2,18.44,6.85,0.45,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#2-AddedOffRampEdge,18.42,5.14,0.23,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#3,18.98,0.29,0.44,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#4,15.34,1.03,0.54,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#5,18.38,0.01,0.45,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#6,18.14,1.35,0.45,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689448#7,14.3,2.32,0.1,1.0,0.0
scen2,ed_port_scen1,0.0,60.0,22689534,5.97,4.99,1.31,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,22689613#0,10.06,1.48,0.38,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22690218#0,12.57,3.72,0.33,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22690218#1,12.39,5.29,0.34,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22740417#3,11.0,0.5,0.25,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22740446#1,8.48,0.02,0.33,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22740446#2,9.79,0.83,0.25,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22740446#3,10.8,1.49,0.25,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22740446#4,11.08,0.13,0.25,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,22740446#5,10.9,2.94,0.26,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,241782380#0,4.8,1.46,1.68,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,241782380#1,8.38,0.42,0.95,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,241782380#2,7.31,1.45,1.15,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,241782381#2,2.92,,2.82,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415702,18.53,3.29,0.15,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415706,18.73,3.85,0.44,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415707#1,12.05,2.24,1.39,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415707#2,12.09,1.11,1.38,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415707#3,11.08,3.77,1.52,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415708#0,16.08,0.01,0.26,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415708#4,13.2,0.02,0.63,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415708#5,13.33,0.63,0.32,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415708#6,15.04,0.18,0.28,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415715#0,14.79,1.77,0.56,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415715#1,17.87,1.65,0.85,2.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415715#2,15.63,4.55,0.48,1.0,0.0
scen2,ed_port_scen1,0.0,60.0,542415715#2-AddedOnRampEdge,24.18,3.94,0.17,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415718#0,6.76,5.35,0.59,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415718#1,12.49,5.18,0.22,2.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415718#2,9.13,1.6,0.46,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415723#0,12.52,12.34,0.66,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415723#1,16.94,5.2,0.49,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415724#1,13.81,1.56,0.15,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415724#2,13.52,0.16,0.09,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415724#3,16.11,0.32,0.26,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415724#4,16.8,0.01,0.25,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415724#5,17.76,0.18,0.23,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415724#6,17.76,0.01,0.23,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415724#7,18.31,0.69,0.23,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415724#8,14.55,0.89,0.29,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,542415726#0,11.85,0.23,0.35,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415726#1,12.56,0.62,0.33,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415726#2,13.06,0.08,0.32,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415726#3,9.43,0.77,0.45,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415726#5,12.5,1.68,0.33,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415726#6,9.2,0.09,0.45,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415726#7,9.65,0.02,0.43,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,542415726#8,11.65,0.02,0.36,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,640902592#0,15.79,0.05,0.53,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,640902592#1,16.03,0.81,0.52,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,640902592#2,18.86,2.17,0.44,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,640902592#3,19.5,0.01,0.43,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,640902592#5,14.45,0.06,0.58,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,640902592#6,15.58,0.32,0.53,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,640902593#0,22.99,4.55,0.36,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,640902593#1,18.17,7.27,0.46,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,657270556#5,4.49,3.4,1.6,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,657270567#0,11.23,4.79,0.25,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,657270567#1,11.13,18.94,0.25,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,657270567#2,11.23,22.72,0.21,1.0,0.0
scen2,ed_port_scen1,0.0,60.0,668500121#0,3.65,4.54,2.02,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,668500124#1,4.98,0.31,3.2,1.0,2.0
scen2,ed_port_scen1,0.0,60.0,669284464#1,9.07,9.35,0.45,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,669284464#2,21.54,2.25,0.19,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,669284464#3,26.27,1.0,0.16,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,669284464#4,24.2,1.0,0.23,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,669284464#5,26.51,13.53,0.14,2.0,0.0
scen2,ed_port_scen1,0.0,60.0,669284464#5-AddedOnRampEdge,25.92,3.65,0.16,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,669531128,12.23,10.48,0.34,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,669531129#0,11.7,7.39,0.59,2.0,1.0
scen2,ed_port_scen1,0.0,60.0,669531129#1,12.37,3.33,0.34,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,669531129#2,12.57,12.68,0.33,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,669871301#1,2.85,,2.48,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,671260782,10.77,3.3,0.76,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,671260783#0,12.34,1.54,0.68,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,671260783#1,7.95,3.84,2.09,1.0,2.0
scen2,ed_port_scen1,0.0,60.0,671260785#3,4.17,5.33,0.46,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314860#1,18.28,1.51,0.22,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314860#1-AddedOnRampEdge,15.06,6.35,0.18,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314860#2,10.21,2.33,0.28,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314900,6.24,3.74,1.26,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314911#4,4.16,0.04,1.48,1.0,2.0
scen2,ed_port_scen1,0.0,60.0,672314911#5,9.91,5.52,0.81,2.0,2.0
scen2,ed_port_scen1,0.0,60.0,672314911#6,17.22,10.52,0.24,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314952,16.21,0.75,0.17,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314966,18.01,6.58,0.23,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314969,17.85,1.86,0.46,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314971,11.07,3.94,0.25,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314974#0,13.67,7.68,0.61,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314974#1,13.59,17.17,0.59,1.0,0.0
scen2,ed_port_scen1,0.0,60.0,672314987#1,3.03,,2.29,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314991#0,5.53,0.05,1.5,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672314991#1,8.53,0.76,0.96,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672315039,9.24,2.61,0.88,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672382729#1,9.95,3.1,0.85,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672382731#2,12.64,0.3,0.32,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672382731#3,13.12,0.34,0.11,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,672382732,6.78,7.28,0.6,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,672382733,14.85,6.65,0.56,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,92848441,11.09,9.32,0.38,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,92848448#1.312,4.0,22.61,2.09,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,92848448#2,3.79,6.03,2.19,1.0,1.0
scen2,ed_port_scen1,0.0,60.0,92848448#2.33,3.94,20.58,0.32,1.0,0.0
scen2,ed_port_scen1,0.0,60.0,92848451#1,12.64,16.47,0.33,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,E18,3.47,5.46,2.08,0.0,1.0
scen2,ed_port_scen1,0.0,60.0,E19,3.93,0.2,2.11,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,-1108932288#0,6.05,0.56,1.4,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,-1108932288#1,3.02,,1.56,0.0,1.0
scen2,ed_port_scen1,60.0,120.0,-1108932289#0,15.36,5.92,0.14,1.0,0.0
scen2,ed_port_scen1,60.0,120.0,-1108932289#1,12.64,0.54,0.67,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,-1312204030#0,5.23,5.34,1.46,0.0,1.0
scen2,ed_port_scen1,60.0,120.0,-669531217#0,6.65,2.52,1.19,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,-672084662#2,5.97,0.03,1.4,1.0,0.0
scen2,ed_port_scen1,60.0,120.0,-672314847#0,6.0,0.03,2.78,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,-672314847#1,4.81,2.33,3.3,1.0,2.0
scen2,ed_port_scen1,60.0,120.0,-672314847#2,2.69,,2.59,0.0,1.0
scen2,ed_port_scen1,60.0,120.0,-672314974#4,12.98,66.31,0.57,0.0,0.0
scen2,ed_port_scen1,60.0,120.0,1103936500,15.38,25.93,0.66,5.0,2.0
scen2,ed_port_scen1,60.0,120.0,1187557611,16.22,2.97,0.26,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1211925684,24.53,1.56,0.11,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1211925685,8.36,0.14,0.47,1.0,2.0
scen2,ed_port_scen1,60.0,120.0,1211925686,12.91,0.73,0.43,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,1211925690,17.1,2.2,0.24,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1221288521,6.74,5.9,0.59,0.0,1.0
scen2,ed_port_scen1,60.0,120.0,1221288522#0,14.59,0.64,0.28,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1221288523,9.52,2.62,0.9,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1278761923,7.34,0.83,0.57,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1278761924,12.93,0.8,0.32,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1278761925,10.82,0.47,0.39,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1312207892#0,18.93,0.52,0.44,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1312207892#1,18.9,0.01,0.44,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1312207892#2,14.52,2.02,0.19,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1323816511,13.76,0.33,0.3,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1323816512,13.68,0.02,0.3,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1329708917,7.77,4.78,1.05,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1367669487,4.46,4.44,1.69,0.0,1.0
scen2,ed_port_scen1,60.0,120.0,1443544285#0,12.69,1.67,0.66,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,1443544285#1,12.14,1.1,0.69,1.0,1.0
