id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,scenario
vehP19.5,144.0,559367542_0,5.10,0.00,54.0,989.0,671267430_0,7.47,0.00,845.0,3722.43,304.0,4,0.00,401.95,0,tripinfo_vehP19.5 fcd_vehP19.5,car,0.95,teleport,scen2
vehP18.19,125.0,559367542_0,5.10,0.00,65.0,1224.0,671267430_0,7.47,0.00,1099.0,3747.76,608.0,5,0.00,711.23,0,tripinfo_vehP18.19 fcd_vehP18.19,car,1.01,teleport,scen2
vehP18.18,121.0,559367542_0,5.10,0.00,61.0,1530.0,671267430_0,7.47,0.00,1409.0,3747.76,904.0,5,0.00,1022.89,0,tripinfo_vehP18.18 fcd_vehP18.18,car,1.02,teleport,scen2
vehP19,128.0,559367542_0,5.10,0.00,38.0,1836.0,671267430_0,7.47,0.00,1708.0,3747.76,1198.0,5,0.00,1309.99,0,tripinfo_vehP19 fcd_vehP19,car,0.97,teleport,scen2
vehP19.13,171.0,559367542_0,5.10,0.00,81.0,1895.0,671267430_0,7.47,0.00,1724.0,3722.43,1191.0,5,0.00,1303.85,0,tripinfo_vehP19.13 fcd_vehP19.13,car,1.02,teleport,scen2
vehP19.1,131.0,559367542_0,5.10,0.00,41.0,2142.0,671267430_0,7.47,0.00,2011.0,3747.76,1494.0,6,0.00,1584.43,0,tripinfo_vehP19.1 fcd_vehP19.1,car,0.89,teleport,scen2
vehP19.6,147.0,559367542_0,5.10,0.00,57.0,2447.0,671267430_0,7.47,0.00,2300.0,3747.76,1795.0,10,0.00,1940.74,0,tripinfo_vehP19.6 fcd_vehP19.6,car,1.13,teleport,scen2
vehP16,0.0,559367542_0,5.10,0.00,0.0,2450.0,671267430_0,7.47,3.71,2450.0,3747.76,236.0,1,2036.00,37.48,0,tripinfo_vehP16 fcd_vehP16,car,1.06,,scen2
vehP18.6,81.0,559367542_0,5.10,0.00,21.0,2451.0,671267430_0,7.47,1.22,2370.0,3747.76,51.0,3,1844.00,113.53,0,tripinfo_vehP18.6 fcd_vehP18.6,car,0.94,,scen2
vehP18.3,70.0,559367542_0,5.10,0.00,10.0,2455.0,671267430_0,7.47,2.83,2385.0,3747.76,64.0,1,1864.00,68.59,0,tripinfo_vehP18.3 fcd_vehP18.3,car,0.83,,scen2
vehP18.7,85.0,559367542_0,5.10,0.00,25.0,2457.0,671267430_0,7.47,2.97,2372.0,3747.76,61.0,1,1860.00,69.75,0,tripinfo_vehP18.7 fcd_vehP18.7,car,0.86,,scen2
vehP18.13,105.0,559367542_0,5.10,0.00,45.0,2463.0,671267430_0,7.47,1.73,2358.0,3747.76,65.0,3,1862.00,79.89,0,tripinfo_vehP18.13 fcd_vehP18.13,car,0.93,,scen2
vehP18.14,109.0,559367542_0,5.10,0.00,49.0,2464.0,671267430_0,7.47,1.09,2355.0,3747.76,52.0,1,1852.00,69.85,0,tripinfo_vehP18.14 fcd_vehP18.14,car,0.88,,scen2
vehP18.15,112.0,559367542_0,5.10,0.00,52.0,2465.0,671267430_0,7.47,1.31,2353.0,3747.76,43.0,3,1840.00,101.05,0,tripinfo_vehP18.15 fcd_vehP18.15,car,0.94,,scen2
vehP18.16,115.0,559367542_0,5.10,0.00,55.0,2471.0,671267430_0,7.47,1.68,2356.0,3747.76,54.0,1,1853.00,90.53,0,tripinfo_vehP18.16 fcd_vehP18.16,car,0.94,,scen2
vehP17,30.0,559367542_0,5.10,0.00,0.0,2500.0,671267430_0,7.47,4.91,2470.0,3747.76,211.0,1,2011.00,46.7,0,tripinfo_vehP17 fcd_vehP17,car,0.94,,scen2
vehP18,60.0,559367542_0,5.10,0.00,0.0,2506.0,671267430_0,7.47,4.34,2446.0,3747.76,210.0,1,2010.00,44.83,0,tripinfo_vehP18 fcd_vehP18,car,1.01,,scen2
vehP18.2,67.0,559367542_0,5.10,0.00,7.0,2513.0,671267430_0,7.47,3.76,2446.0,3747.76,206.0,1,2006.00,55.13,0,tripinfo_vehP18.2 fcd_vehP18.2,car,1.03,,scen2
vehP18.1,63.0,559367542_0,5.10,0.00,3.0,2520.0,671267430_0,7.47,4.22,2457.0,3747.76,238.0,1,2038.00,47.02,0,tripinfo_vehP18.1 fcd_vehP18.1,car,1.08,,scen2
vehP18.4,74.0,559367542_0,5.10,0.00,14.0,2527.0,671267430_0,7.47,3.88,2453.0,3747.76,226.0,1,2026.00,46.07,0,tripinfo_vehP18.4 fcd_vehP18.4,car,1.05,,scen2
vehP18.5,77.0,559367542_0,5.10,0.00,17.0,2533.0,671267430_0,7.47,3.28,2456.0,3747.76,177.0,1,1977.00,49.07,0,tripinfo_vehP18.5 fcd_vehP18.5,car,0.89,,scen2
vehP18.12,102.0,559367542_0,5.10,0.00,42.0,2535.0,671267430_0,7.47,3.05,2433.0,3747.76,156.0,1,1956.00,81.19,0,tripinfo_vehP18.12 fcd_vehP18.12,car,0.99,,scen2
vehP18.9,91.0,559367542_0,5.10,0.00,31.0,2542.0,671267430_0,7.47,3.99,2451.0,3747.76,176.0,2,1974.00,90.66,0,tripinfo_vehP18.9 fcd_vehP18.9,car,1.03,,scen2
vehP18.17,118.0,559367542_0,5.10,0.00,58.0,2547.0,671267430_0,7.47,3.05,2429.0,3747.76,163.0,1,1963.00,110.52,0,tripinfo_vehP18.17 fcd_vehP18.17,car,1.16,,scen2
vehP18.8,88.0,559367542_0,5.10,0.00,28.0,2559.0,671267430_0,7.47,3.04,2471.0,3747.76,214.0,1,2014.00,87.66,0,tripinfo_vehP18.8 fcd_vehP18.8,car,1.09,,scen2
vehP18.10,94.0,559367542_0,5.10,0.00,34.0,2566.0,671267430_0,7.47,4.25,2472.0,3747.76,205.0,2,2004.00,86.94,0,tripinfo_vehP18.10 fcd_vehP18.10,car,1.05,,scen2
vehP18.11,98.0,559367542_0,5.10,0.00,38.0,2572.0,671267430_0,7.47,3.70,2474.0,3747.76,200.0,2,1999.00,111.46,0,tripinfo_vehP18.11 fcd_vehP18.11,car,1.12,,scen2
vehP20.17,254.0,559367542_0,5.10,0.00,134.0,2945.0,671267430_0,7.47,0.00,2691.0,3722.43,2034.0,12,0.00,2252.24,0,tripinfo_vehP20.17 fcd_vehP20.17,car,0.97,teleport,scen2
vehP20.2,203.0,559367542_0,5.10,0.00,83.0,3178.0,671267430_0,7.47,0.00,2975.0,3747.76,2368.0,13,0.00,2595.36,0,tripinfo_vehP20.2 fcd_vehP20.2,car,1.04,teleport,scen2
vehP20.7,220.0,559367542_0,5.10,0.00,100.0,3483.0,671267430_0,7.47,0.00,3263.0,3747.76,2655.0,16,0.00,2821.22,0,tripinfo_vehP20.7 fcd_vehP20.7,car,0.85,teleport,scen2
